count,year,count_m,count_f,score_m,score_f,prop_f,diff_mf,diff_fm
20,1186,15,5,21.663789599999998,23.4360018,0.25,-1.7722122,1.772212200000002
23,1187,21,2,21.91922476190476,22.632787,0.086956522,-0.713562238,0.7135622380952391
19,1188,15,4,22.585488866666665,27.786001,0.21052631578947367,-5.200512133,5.2005121333333335
15,1189,15,,20.484835866666668,,,,
102,1190,87,15,20.123103137931036,20.411297666666666,0.14705882352941177,-0.288194529,0.28819452873563023
26,1191,18,8,20.366578777777775,22.44399813,0.3076923076923077,-2.077419347,2.077419347222225
28,1192,18,10,22.193134555555556,20.3617209,0.35714285714285715,1.8314136555555542,-1.831413656
27,1193,22,5,19.728858136363637,23.1516532,0.18518518518518517,-3.422795064,3.422795063636361
38,1194,32,6,20.94386131,22.37957,0.15789473684210525,-1.435708688,1.435708688
54,1195,47,7,20.740890276595746,18.188102142857144,0.12962962962962962,2.552788133738602,-2.552788134
28,1196,24,4,19.768692916666666,22.68667325,0.14285714285714285,-2.917980333,2.9179803333333325
30,1197,22,8,21.511491454545453,21.19325938,0.26666666666666666,0.31823207954545296,-0.31823208
44,1198,35,9,21.30576,22.28762111111111,0.20454545454545456,-0.981861111,0.9818611111111117
28,1199,26,2,22.450615000000003,19.835136499999997,0.071428571,2.6154785000000054,-2.6154785
211,1200,178,33,19.174057415730335,19.25187415151515,0.15639810426540285,-0.077816736,0.077816736
26,1201,21,4,23.15254919047619,22.18153075,0.15384615384615385,0.9710184404761897,-0.97101844
20,1202,16,4,20.346088,23.340228,0.2,-2.99414,2.994139999999998
28,1203,23,5,20.865356130434783,20.8328456,0.17857142857142858,0.03251053,-0.03251053
34,1204,27,7,21.63713685185185,24.23610857142857,0.20588235294117646,-2.59897172,2.5989717195767206
58,1205,46,12,20.897911369565218,19.875684166666666,0.20689655172413793,1.0222272028985522,-1.022227203
32,1206,26,6,22.478720307692306,19.4351535,0.1875,3.043566807692308,-3.043566808
32,1207,25,7,21.524316480000003,21.10053414285714,0.21875,0.42378233714286395,-0.423782337
23,1208,21,2,22.55294519047619,17.938713,0.086956522,4.614232190476191,-4.61423219
25,1209,21,4,22.25861223809524,19.387828749999997,0.16,2.870783488095242,-2.870783488
125,1210,105,20,20.26122304761905,19.8362591,0.16,0.42496394761905165,-0.424963948
19,1211,15,4,23.019506533333335,23.69912825,0.21052631578947367,-0.679621717,0.6796217166666665
23,1212,14,9,20.984973571428572,21.276601444444445,0.391304348,-0.291627873,0.291627873
24,1213,22,2,20.68550790909091,20.9045045,0.083333333,-0.218996591,0.21899659090909296
20,1214,17,3,21.34091594117647,22.056375333333335,0.15,-0.715459392,0.7154593921568662
57,1215,43,14,21.530241,21.253318642857145,0.24561403508771928,0.27692235714285474,-0.276922357
26,1216,20,6,21.6331493,21.1860375,0.23076923076923078,0.4471117999999983,-0.4471118
27,1217,24,3,21.766986333333335,20.481185,0.1111111111111111,1.2858013333333354,-1.285801333
26,1218,20,6,22.744812,22.32103016666667,0.23076923076923078,0.4237818333333294,-0.423781833
23,1219,21,2,20.077666666666666,18.219369,0.086956522,1.8582976666666653,-1.858297667
127,1220,108,19,20.053232074074074,19.13027342105263,0.14960629921259844,0.9229586530214426,-0.922958653
22,1221,19,3,21.804297736842106,22.719317,0.13636363636363635,-0.915019263,0.9150192631578946
23,1222,21,2,20.385865428571428,20.8516465,0.086956522,-0.465781071,0.46578107142857306
29,1223,20,9,20.952991750000002,20.125598,0.3103448275862069,0.8273937500000024,-0.82739375
30,1224,18,12,20.198961055555557,21.1096245,0.4,-0.910663444,0.9106634444444417
74,1225,60,14,20.517163999999998,19.671494357142855,0.1891891891891892,0.8456696428571426,-0.845669643
29,1226,23,6,21.441769391304348,22.995400333333333,0.20689655172413793,-1.553630942,1.5536309420289847
28,1227,22,6,19.846084727272725,21.85906183333333,0.21428571428571427,-2.012977106,2.0129771060606068
34,1228,26,8,20.91486203846154,19.03891175,0.23529411764705882,1.8759502884615387,-1.875950288
15,1229,15,,19.2620788,,,,
141,1230,122,19,19.264553237704916,19.93249,0.1347517730496454,-0.667936762,0.6679367622950849
18,1231,16,2,21.96690538,25.1360275,0.1111111111111111,-3.169122125,3.1691221250000012
23,1232,20,3,20.02669335,20.905977333333336,0.13043478260869565,-0.879283983,0.8792839833333375
17,1233,14,3,21.959049214285717,22.651642666666664,0.17647058823529413,-0.692593452,0.6925934523809474
20,1234,14,6,19.941378785714285,22.551102833333335,0.3,-2.609724048,2.609724048
69,1235,62,7,19.89779951612903,19.464367285714285,0.10144927536231885,0.4334322304147449,-0.43343223
25,1236,19,6,22.428129578947367,20.656913,0.24,1.7712165789473673,-1.771216579
24,1237,18,6,20.392145222222222,21.031827166666666,0.25,-0.639681944,0.6396819444444439
37,1238,31,6,21.65759812903226,20.610949166666668,0.16216216216216217,1.046648962365591,-1.046648962
19,1239,19,,23.333038210526315,,,,
147,1240,135,12,20.268188414814816,20.23159625,0.081632653,0.036592165,-0.036592165
26,1241,18,8,21.36343261111111,23.98605138,0.3076923076923077,-2.622618764,2.6226187638888874
29,1242,21,8,20.98541552380952,23.1700415,0.27586206896551724,-2.184625976,2.1846259761904783
35,1243,33,2,20.804687575757576,20.3737745,0.057142857,0.43091307575757654,-0.430913076
29,1244,26,3,21.670236384615386,20.28966266666667,0.10344827586206896,1.3805737179487174,-1.380573718
63,1245,51,11,20.002326294117648,20.030008363636366,0.1746031746031746,-0.02768207,0.027682069518718322
29,1246,26,3,20.96773257692308,19.233853,0.10344827586206896,1.733879577,-1.733879577
31,1247,25,6,20.37575424,21.208597166666667,0.1935483870967742,-0.832842927,0.8328429266666681
26,1248,22,4,20.856794454545454,26.7610255,0.15384615384615385,-5.904231045,5.904231045454544
31,1249,27,4,22.18141211111111,21.3737665,0.12903225806451613,0.8076456111111128,-0.807645611
190,1250,169,21,19.64398051,19.190624476190475,0.11052631578947368,0.45335603860242557,-0.453356039
20,1251,17,3,21.696466176470587,21.46886333333333,0.15,0.2276028431372552,-0.227602843
31,1252,25,6,20.14008652,19.96068083333333,0.1935483870967742,0.17940568666666934,-0.179405687
36,1253,21,15,21.549304809523807,20.190851066666667,0.4166666666666667,1.3584537428571402,-1.358453743
34,1254,26,8,21.31636546153846,21.566990875000002,0.23529411764705882,-0.250625413,0.25062541346154177
52,1255,46,6,21.015584999999998,19.2465765,0.11538461538461539,1.7690084999999982,-1.7690085
28,1256,24,4,21.186680499999998,22.920665,0.14285714285714285,-1.7339845,1.7339845000000018
24,1257,18,6,20.24937166666667,22.644930333333335,0.25,-2.395558667,2.395558666666666
32,1258,27,5,21.563209962962965,22.5100006,0.15625,-0.946790637,0.9467906370370365
29,1259,23,6,21.255133782608695,22.722619499999997,0.20689655172413793,-1.467485717,1.4674857173913018
130,1260,110,20,19.774133854545454,19.890810600000002,0.15384615384615385,-0.116676745,0.11667674545454787
33,1261,31,2,21.580194451612904,24.7847655,0.060606061,-3.204571048,3.204571048387095
28,1262,24,4,20.17837075,24.35697,0.14285714285714285,-4.17859925,4.178599250000001
32,1263,23,9,19.88939234782609,20.865342555555557,0.28125,-0.975950208,0.9759502077294684
33,1264,23,10,20.57791113043478,17.9912549,0.30303030303030304,2.58665623,-2.58665623
55,1265,44,11,21.818362795454547,21.896000727272728,0.2,-0.077637932,0.077637932
27,1266,21,6,20.659767857142857,22.941459833333337,0.2222222222222222,-2.281691976,2.281691976
31,1267,28,3,21.370567071428574,18.678809333333334,0.096774194,2.691757738095241,-2.691757738
31,1268,24,7,20.481445625000003,21.829691,0.22580645161290322,-1.348245375,1.3482453749999976
23,1269,17,6,21.39667905882353,21.5186255,0.2608695652173913,-0.121946441,0.12194644117646902
121,1270,108,13,19.805846462962965,20.569535,0.10743801652892562,-0.763688537,0.7636885370370337
35,1271,30,5,21.680164133333335,23.957714799999998,0.14285714285714285,-2.277550667,2.277550666666663
28,1272,25,3,21.05959568,22.882627666666668,0.10714285714285714,-1.823031987,1.8230319866666669
19,1273,14,5,21.00954014285714,23.999147999999998,0.2631578947368421,-2.989607857,2.9896078571428575
